sentence,audio,token,id
"К себе в гарнизон двенадцать километров шла пешком, сообщить о том, что победа.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-653145-659938.wav,К,1
"К сожалению, нет.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2292020-2295140.wav,К,2
"К счастью, дети все равно все кричат: 'Василиса!' - полное имя.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2900010-2907390.wav,К,3
"К чему -то они там детей готовили, непонятно к чему.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-om1973-269824-273366.wav,К,4
К одному и к другому.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-om1973-1800081-1803936.wav,К,5
К Звенигороду я больше.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-va1940-2078218-2082303.wav,К,6
"К сожалению, два года, потому что",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-vi1972-1063001-1064911.wav,К,7
К концу года уже получилось хорошо.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-vi1972-1215701-1217521.wav,К,8
"С какого, с две тысячи пятого года я там.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-295276-297988.wav,С,9
С людьми общаются другие.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1118135-1119744.wav,С,10
"С группой, а эти были экономика и бухучёт.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-1226056-1229640.wav,С,11
С ветеринарным вот управлением.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ea1976-2370654-2373425.wav,С,12
С тысяча девятьсот пятидесятого года рождения я.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-15470-18750.wav,С,13
С теплотой такой...,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-49940-51790.wav,С,14
"С пятнадцатого года, восемнадцатый...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-li1950-2438280-2445370.wav,С,15
С четвёртого класса в первой школе Звенигородской.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-41503-45009.wav,С,16
"С шестого мы сюда вернулись, шестой-седьмой Вероника сюда вернулась.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-416712-422152.wav,С,17
"С Мариной я меньше занималась, с Вероникой больше.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-oa1975-475278-481030.wav,С,18
С добрым сердцем.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-om1973-2762519-2768843.wav,С,19
С этого времени я живу в Звенигороде.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-tk1949_1-14774-16368.wav,С,20
"С семидесятого года он работал на Власихе в воинской части также водителем, возил военного...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-tk1949_1-55072-61762.wav,С,21
"С этого дня ,",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-tk1949_1-340255-341278.wav,С,22
"С , мы с ней работали.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-tk1949_1-760488-763287.wav,С,23
"С Алтая - представляете, как это далеко, да?",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-tk1949_2-131445-133921.wav,С,24
"С ней вот познакомились, так вот больше пятидесяти лет живём.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-va1940-275732-280952.wav,С,25
С женой плачем.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-va1940-287962-289842.wav,С,26
С восьмидесяти шестого года.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-va1940-312431-320245.wav,С,27
"С ним чтоб в походы, с тех пор",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-va1940-362121-364996.wav,С,28
"С рук не покупает, это с рук сколько уже нарывались.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-va1940-812971-817470.wav,С,29
"С Игнатьева до города иду пешком, семь= семь минут ходьбы.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-va1940-846604-851361.wav,С,30
С этого началось.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-va1940-1167205-1168947.wav,С,31
С горки наоборот бежишь как.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-va1940-1275870-1284088.wav,С,32
"С сыном, конечно, у меня...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-vg1945-254900-256420.wav,С,33
"С качелей сяду, посижу на качелях, посмотрю...",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-vg1945-641760-645850.wav,С,34
С женой берут мне билеты.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-vg1945-740730-743940.wav,С,35
"С другой стороны, я говорю: 'Представь себе вечером: костер, шашлык, да?'.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-vi1972-1929703-1932656.wav,С,36
С капелькой.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-vi1972-1981892-1985291.wav,С,37
"С улицы, вот как в Дютьково, ты не придешь.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-vi1972-2441753-2446687.wav,С,38
"С другой стороны, у меня есть знакомая, которая выучились,",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-vi1972-3336872-3342015.wav,С,39
С полной клавиатурой он большой.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ya1968-1315947-1317615.wav,С,40
С укороченной..,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ya1968-1318090-1320074.wav,С,41
С укороченной клавиатурой.,http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ya1968-1320298-1322103.wav,С,42
"С одной стороны залив, прямо из окна.",http://lingconlab.ru/zvenigorod/OUT/2019-Zvenigorod-ya1968-1454538-1456833.wav,С,43
